DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,DATE,month,year,SHIFT_START_CATEGORY,SHIFT_END_CATEGORY,ID_COUNT,holiday
2021-06-05,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,69.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,57,0
2021-06-05,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,1900-01-01 07:00:00,3.0,2023-12-05 17:00:00,600,19.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,29,0
2021-06-05,Sat,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 08:00:00,0.0,2023-12-05 18:00:00,600,9.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Evening,56,0
2021-06-05,Sat,Old Kents Hill Road,Readfield,Torsey Lake,3504,Paid,1900-01-01 13:00:00,3.0,2023-12-05 19:00:00,360,26.0,0.0,81.0,59.0,2021-06-05,6,2021,Afternoon,Evening,109,0
2021-06-05,Sat,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4485,Paid,1900-01-01 07:00:00,11.0,2023-12-05 17:00:00,600,105.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,16,0
2021-06-05,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4715,Paid,1900-01-01 14:00:00,7.0,2023-12-05 19:00:00,300,19.0,0.0,81.0,59.0,2021-06-05,6,2021,Afternoon,Evening,11,0
2021-06-05,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,1900-01-01 07:00:00,3.0,2023-12-05 17:00:00,600,34.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,29,0
2021-06-05,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,1900-01-01 07:00:00,4.0,2023-12-05 17:00:00,600,62.0,0.0,81.0,59.0,2021-06-05,6,2021,Early Morning,Late Afternoon,113,0
2021-06-05,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 12:00:00,7.0,2023-12-05 19:00:00,420,47.0,0.0,81.0,59.0,2021-06-05,6,2021,Afternoon,Evening,131,0
2021-06-06,Sun,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,5322,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,20.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,8,0
2021-06-06,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5105,Paid,1900-01-01 07:00:00,0.0,2023-12-05 13:00:00,360,63.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,35,0
2021-06-06,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,1900-01-01 07:00:00,9.0,2023-12-05 15:00:00,480,74.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Late Afternoon,57,0
2021-06-06,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,23.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Late Afternoon,29,0
2021-06-06,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,1900-01-01 13:00:00,3.0,2023-12-05 19:00:00,360,3.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,16,0
2021-06-06,Sun,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4715,Paid,1900-01-01 13:00:00,10.0,2023-12-05 19:00:00,360,23.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,11,0
2021-06-06,Sun,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4771,Paid,1900-01-01 13:00:00,49.0,2023-12-05 19:00:00,360,78.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,55,0
2021-06-06,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,1900-01-01 13:00:00,20.0,2023-12-05 19:00:00,360,40.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,7,0
2021-06-06,Sun,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 08:00:00,1.0,2023-12-05 18:00:00,600,8.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Evening,56,0
2021-06-06,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,1900-01-01 13:00:00,27.0,2023-12-05 19:00:00,360,9.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,29,0
2021-06-06,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,9.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,111,0
2021-06-06,Sun,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4485,Paid,1900-01-01 07:00:00,9.0,2023-12-05 14:00:00,420,65.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,16,0
2021-06-06,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:00:00,600,51.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Late Afternoon,113,0
2021-06-06,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,45.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,58,0
2021-06-06,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 13:00:00,7.0,2023-12-05 19:00:00,360,49.0,0.0,89.0,66.0,2021-06-06,6,2021,Afternoon,Evening,131,0
2021-06-06,Sun,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,1900-01-01 07:30:00,2.0,2023-12-05 13:00:00,330,18.0,0.0,89.0,66.0,2021-06-06,6,2021,Early Morning,Afternoon,65,0
2021-06-11,Fri,Thorofare Rd,Litchfield,Pleasant Pond,5105,Paid,1900-01-01 12:00:00,4.0,2023-12-05 18:00:00,360,16.0,0.0,74.0,53.0,2021-06-11,6,2021,Afternoon,Evening,35,0
2021-06-11,Fri,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4485,Paid,1900-01-01 12:00:00,1.0,2023-12-05 18:00:00,360,0.0,0.0,74.0,53.0,2021-06-11,6,2021,Afternoon,Evening,16,0
2021-06-11,Fri,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 12:00:00,,2023-12-05 18:00:00,360,3.0,0.0,74.0,53.0,2021-06-11,6,2021,Afternoon,Evening,56,0
2021-06-11,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4174,Paid,1900-01-01 12:00:00,0.0,2023-12-05 18:00:00,360,6.0,0.0,74.0,53.0,2021-06-11,6,2021,Afternoon,Evening,131,0
2021-06-11,Fri,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,3796,Paid,1900-01-01 12:00:00,11.0,2023-12-05 18:00:00,360,17.0,0.0,74.0,53.0,2021-06-11,6,2021,Afternoon,Evening,113,0
2021-06-12,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,5322,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,11.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Afternoon,8,0
2021-06-12,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,1900-01-01 07:00:00,2.0,2023-12-05 13:00:00,360,14.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Afternoon,7,0
2021-06-12,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,1900-01-01 07:00:00,0.0,2023-12-05 13:00:00,360,13.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Afternoon,55,0
