DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,TOBS
2021-06-12,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,13:00,1.0,19:00,360,7.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,4715,Paid,13:00,4.0,19:00,360,10.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5354,Paid,13:00,10.0,19:30,390,31.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,3.0,13:00,360,6.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,4.0,17:00,600,47.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,6.0,17:00,600,35.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,7:00,2.0,17:15,615,28.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,13:00,6.0,19:00,360,12.0,0.0,64.0,49.0,62.0
2021-06-12,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,7:00,1.0,13:00,360,5.0,0.0,64.0,49.0,62.0
2021-06-13,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,5322,Paid,7:00,1.0,13:00,360,19.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,0.0,13:00,360,45.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,2.0,13:00,360,9.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,5354,Paid,8:00,2.0,14:15,375,11.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,6.0,17:00,600,66.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5353,Paid,13:00,6.0,19:00,360,9.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Wilson Pond Road,Monmouth,Wilson Pond,3504,Paid,13:00,3.0,19:00,360,17.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,4715,Paid,13:30,13.0,19:00,330,16.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,13:00,19.0,19:00,360,34.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,5105,Paid,13:00,40.0,19:00,360,88.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,14:00,3.0,20:00,360,4.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,12.0,13:00,360,61.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,2.0,17:00,600,54.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,13:00,7.0,19:00,360,30.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,7:00,1.0,13:00,360,39.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,13:00,21.0,19:00,360,8.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,7:30,4.0,13:00,330,22.0,0.0,81.0,51.0,70.0
2021-06-13,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,7:00,0.0,13:00,360,11.0,0.0,81.0,51.0,70.0
2021-06-18,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,12:00,8.0,18:00,360,34.0,0.0,78.0,50.0,66.0
2021-06-18,Fri,East Winthrop,Winthrop,Cobbosseecontee Lake,4485,Paid,12:00,3.0,18:00,360,14.0,0.0,78.0,50.0,66.0
2021-06-18,Fri,Thorofare Rd,Litchfield,Pleasant Pond,5105,Paid,12:00,6.0,18:00,360,24.0,0.0,78.0,50.0,66.0
2021-06-18,Fri,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,12:00,4.0,18:00,360,1.0,0.0,78.0,50.0,66.0
2021-06-18,Fri,Launch Drive,Monmouth,Cobbosseecontee Lake,3796,Paid,12:00,15.0,18:20,380,45.0,0.0,78.0,50.0,66.0
2021-06-19,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,5322,Paid,7:00,10.0,13:00,360,6.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,16.0,13:00,360,22.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,3.0,13:00,360,23.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Augusta West Kampground,Winthrop,Annabessacook Lake,4743,Paid,8:00,0.0,14:00,360,3.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,7.0,17:00,600,51.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5353,Paid,13:00,2.0,19:00,360,14.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,13:00,1.0,19:00,360,3.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,5105,Paid,13:00,20.0,19:00,360,51.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,14:00,3.0,20:00,360,0.0,0.07,84.0,63.0,64.0
