SITE_NAME,DATE1,DAY_OF_WEEK,INSPECTOR_ID,PAY_VOL,SHIFT_START,SHIFT_END,TOTALINSP,NUMINVASIVE,TOWN,WATERBODY,SHIFT_LENGTH,DATE,month,year
Augusta West Kampground,06/25/2021,Fri,4769,1,12:00,18:00,7.0,0.0,Winthrop,Annabessacook Lake,360.0,2021-06-25,6,2021
Old Kents Hill Road,06/25/2021,Fri,1292,0,17:00,19:00,1.0,0.0,Readfield,Torsey Lake,120.0,2021-06-25,6,2021
Thorofare Rd,06/25/2021,Fri,3504,1,12:00,18:00,17.0,0.0,Litchfield,Pleasant Pond,360.0,2021-06-25,6,2021
Launch Drive,06/25/2021,Fri,3796,1,12:00,18:00,28.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-25,6,2021
East Winthrop,06/25/2021,Fri,4485,1,12:00,18:00,7.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-25,6,2021
Thorofare Rd,06/26/2021,Sat,3504,1,08:30,18:30,73.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-26,6,2021
Old Kents Hill Road,06/26/2021,Sat,5006,1,13:00,19:00,3.0,0.0,Readfield,Torsey Lake,360.0,2021-06-26,6,2021
Augusta West Kampground,06/26/2021,Sat,4769,1,08:00,18:15,13.0,0.0,Winthrop,Annabessacook Lake,615.0,2021-06-26,6,2021
Launch Drive,06/26/2021,Sat,4485,1,07:00,13:00,63.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-26,6,2021
Whippoorwill Road,06/26/2021,Sat,4771,1,07:00,17:00,51.0,0.0,Litchfield,Woodbury Pond,600.0,2021-06-26,6,2021
Rt 41 North Basin Maranacook,06/26/2021,Sat,5354,1,07:00,17:10,10.0,0.0,Readfield,Maranacook Lake,610.0,2021-06-26,6,2021
Launch Drive,06/26/2021,Sat,5304,1,13:00,19:00,26.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-26,6,2021
Old Kents Hill Road,06/26/2021,Sat,5222,1,07:00,13:00,6.0,0.0,Readfield,Torsey Lake,360.0,2021-06-26,6,2021
